,id,date,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,month,year,season,m2_lot,m2_living,m2_above,m2_basement,price_m2,median_price_m2_zipcode,dormitory_type,price_group,house_age,better_season_to_sell,sale_price,roi_%,house_group
12514,3450300020,2015-03-18,329000.0,4,2.0,1,0,0,5,7,1963,0,98059,47.5009,-122.164,3,2015,spring,847.8260869565217,171.86919360832405,171.86919360832405,0.0,388.05128205128204,544.9270919173299,house,50%_75%,60_90,fall,427700.0,30.000000000000004,group_2
12526,2787720170,2014-09-29,395000.0,4,2.5,1,0,0,5,7,1969,0,98059,47.512,-122.16,9,2014,fall,1090.0222965440357,197.88182831661095,123.5600148643627,74.32181345224824,362.3779084633086,544.9270919173299,house,50%_75%,60_90,fall,513500.0,30.000000000000004,group_2
12649,5095401360,2014-11-21,418000.0,3,2.5,1,0,0,5,8,1978,0,98059,47.4694,-122.069,11,2014,fall,1491.0813823857302,193.23671497584542,126.34708286882201,66.88963210702342,280.3334579439252,544.9270919173299,house,50%_75%,60_90,fall,543400.0,30.000000000000004,group_2
12665,2525000760,2014-11-05,435000.0,3,2.0,2,0,0,5,7,1964,0,98059,47.483,-122.164,11,2014,fall,1183.9464882943143,219.2493496841323,219.2493496841323,0.0,367.41525423728814,544.9270919173299,house,50%_75%,60_90,fall,565500.0,30.000000000000004,group_2
12669,2787700180,2015-01-12,320000.0,3,2.0,1,0,0,5,7,1968,0,98059,47.5066,-122.159,1,2015,winter,802.3039762170198,116.12783351913788,116.12783351913788,0.0,398.85132005558125,544.9270919173299,house,50%_75%,60_90,fall,416000.0,30.000000000000004,group_2
12672,7229900145,2014-12-16,430000.0,4,2.5,1,0,0,5,8,1962,0,98059,47.4821,-122.108,12,2014,winter,1488.294314381271,186.7335562987737,186.7335562987737,0.0,288.9213483146067,544.9270919173299,house,50%_75%,60_90,fall,559000.0,30.000000000000004,group_2
13195,9834200885,2014-07-17,360000.0,4,2.5,1,0,0,5,7,1962,0,98144,47.572,-122.29,7,2014,summer,379.041248606466,193.23671497584542,96.61835748792271,96.61835748792271,949.7647058823529,1612.4471999999998,house,50%_75%,60_90,spring,468000.0,30.000000000000004,group_2
14006,1525059198,2014-05-21,1185000.0,3,2.25,2,0,0,5,10,1978,0,98005,47.6501,-122.164,5,2014,spring,3803.9762170196955,256.4102564102564,256.4102564102564,0.0,311.51614321301224,598.7251557281434,house,50%_75%,60_90,winter,1540500.0,30.000000000000004,group_2
14494,9477000650,2014-11-19,397000.0,3,1.75,1,0,0,5,7,1967,0,98034,47.7351,-122.189,11,2014,fall,1089.7435897435898,152.35971757710888,152.35971757710888,0.0,364.3058823529411,590.1757009345795,house,50%_75%,60_90,spring,516100.0,30.000000000000004,group_2
14581,8099900260,2014-05-28,544500.0,4,2.5,1,0,0,5,7,1974,0,98075,47.5816,-122.0,5,2014,spring,967.4842066146415,207.17205499814196,134.70828688219993,72.46376811594203,562.7998847705012,783.3155295860422,house,50%_75%,60_90,spring,707850.0,30.000000000000004,group_2
16643,626100023,2014-06-11,600000.0,5,2.75,1,0,0,5,7,1979,0,98077,47.7201,-122.062,6,2014,summer,5007.246376811595,270.34559643255295,140.28242289111856,130.06317354143442,119.82633863965266,191.40158374000757,mansion,50%_75%,60_90,fall,780000.0,30.000000000000004,group_2
17848,3904940200,2014-06-20,660000.0,4,3.25,2,0,0,5,8,1988,0,98029,47.5747,-122.014,6,2014,summer,861.4827201783725,281.4938684503902,281.4938684503902,0.0,766.120996441281,1216.2845814977973,house,50%_75%,60_90,fall,858000.0,30.000000000000004,group_2
18390,2141300620,2014-09-15,550000.0,3,2.75,1,0,0,5,8,1975,0,98006,47.5582,-122.139,9,2014,fall,1231.140839836492,182.0884429580082,115.19881085098477,66.88963210702342,446.74011469966797,731.1664229768201,house,50%_75%,60_90,summer,715000.0,30.000000000000004,group_2
18587,1951800580,2014-10-24,590000.0,4,2.5,1,0,0,5,8,1973,0,98006,47.5403,-122.168,10,2014,fall,1161.2783351913788,343.7383872166481,178.37235228539578,165.36603493125233,508.0607999999999,731.1664229768201,house,50%_75%,60_90,summer,767000.0,30.000000000000004,group_2
18943,2320069260,2014-10-27,415000.0,3,2.0,1,0,2,5,8,1986,0,98022,47.2133,-122.007,10,2014,fall,3074.136008918618,186.7335562987737,186.7335562987737,0.0,134.9972801450589,263.01942363288777,house,50%_75%,60_90,summer,539500.0,30.000000000000004,group_2
19010,6665800060,2015-03-05,795000.0,3,2.0,1,0,2,5,8,1975,0,98033,47.6652,-122.188,3,2015,spring,1268.1159420289855,271.27461910070605,135.63730955035302,135.63730955035302,626.9142857142857,855.5866394814287,house,50%_75%,60_90,summer,1033500.0,30.000000000000004,group_2
19057,9170500060,2014-08-18,649000.0,4,2.0,1,0,0,5,8,1961,0,98033,47.693,-122.168,8,2014,summer,1025.6410256410256,208.10107766629508,104.05053883314754,104.05053883314754,632.775,855.5866394814287,house,50%_75%,60_90,summer,843700.0,30.000000000000004,group_2
19080,1235700042,2014-05-28,537000.0,3,2.5,2,0,0,5,7,1999,0,98033,47.6973,-122.194,5,2014,spring,1200.2972872538091,143.99851356373097,143.99851356373097,0.0,447.38916408668723,855.5866394814287,house,50%_75%,+90,summer,698100.0,30.000000000000004,group_2
19107,3039000050,2014-12-01,575000.0,4,2.75,1,0,0,5,7,1982,0,98033,47.7024,-122.198,12,2014,winter,1040.5982905982908,149.5726495726496,94.7603121516165,54.81233742103308,552.5667351129363,855.5866394814287,house,50%_75%,60_90,summer,747500.0,30.000000000000004,group_2
19166,3900500110,2014-11-17,627000.0,3,2.0,2,0,0,5,7,1965,0,98033,47.6727,-122.174,11,2014,fall,977.7963582311409,214.60423634336678,214.60423634336678,0.0,641.2378147268408,855.5866394814287,house,50%_75%,60_90,summer,815100.0,30.000000000000004,group_2
19249,925059219,2014-10-23,664000.0,4,2.5,1,0,0,5,8,1974,0,98033,47.6651,-122.174,10,2014,fall,1505.016722408027,173.72723894463027,116.12783351913788,57.599405425492385,441.19111111111107,855.5866394814287,house,50%_75%,60_90,summer,863200.0,30.000000000000004,group_2
19293,1087900050,2014-06-03,560000.0,3,1.75,1,0,0,5,7,1963,0,98033,47.6616,-122.175,6,2014,summer,945.9308807134895,185.8045336306206,130.06317354143442,55.74136008918618,592.0094284030641,855.5866394814287,house,50%_75%,60_90,summer,728000.0,30.000000000000004,group_2
19336,5212000020,2015-03-24,630100.0,4,2.75,1,0,0,5,7,1977,0,98033,47.6999,-122.2,3,2015,spring,1054.9981419546637,177.44332961724268,107.76662950575995,69.67670011148273,597.2522367030645,855.5866394814287,house,50%_75%,60_90,summer,819130.0,30.000000000000004,group_2
20342,1622059095,2014-06-04,292000.0,3,1.75,1,0,0,5,7,1972,0,98031,47.3921,-122.182,6,2014,summer,1052.1181716833892,160.72092159048682,160.72092159048682,0.0,277.5353642384106,376.36494318181815,house,50%_75%,60_90,summer,379600.0,30.000000000000004,group_2
20517,3438500168,2015-05-07,325000.0,3,1.5,1,0,0,5,7,1977,0,98106,47.5549,-122.356,5,2015,spring,695.6521739130435,98.47640282422891,98.47640282422891,0.0,467.1875,674.9028,house,50%_75%,60_90,winter,422500.0,30.000000000000004,group_2
21575,3262301355,2014-07-25,1320000.0,3,2.75,1,0,0,5,9,1964,0,98039,47.6304,-122.234,7,2014,summer,1867.7071720549982,248.9780750650316,169.08212560386474,79.89594946116685,706.7489056904099,1225.4405274740711,house,50%_75%,60_90,fall,1716000.0,30.000000000000004,group_2
1645,2225069036,2014-08-15,925000.0,4,3.25,2,0,0,3,10,2005,0,98074,47.6328,-122.016,8,2014,summer,5582.125603864734,338.1642512077295,338.1642512077295,0.0,165.70748593682387,668.658863532335,house,0%_25%,+90,spring,1665000.0,80.0,group_3
1656,2625069038,2014-11-24,1450000.0,4,3.5,2,0,0,3,11,2014,0,98074,47.6258,-122.005,11,2014,fall,10113.805276848756,399.4797473058343,399.4797473058343,0.0,143.3683920451936,668.658863532335,house,0%_25%,+90,spring,2610000.0,80.0,group_3
1794,1425069071,2015-03-23,875000.0,4,2.5,2,0,0,3,9,2006,0,98053,47.6544,-121.998,3,2015,spring,23795.243403939057,300.0743218134523,300.0743218134523,0.0,36.77205503412303,854.4820453892559,house,0%_25%,+90,winter,1575000.0,80.0,group_3
1798,8647600020,2014-11-11,749950.0,4,2.5,2,0,0,3,10,2005,0,98053,47.6101,-121.955,11,2014,fall,11482.720178372352,310.2935711631364,310.2935711631364,0.0,65.31117961165049,854.4820453892559,house,0%_25%,+90,winter,1349910.0,80.0,group_3
2027,7237550110,2015-04-24,1180000.0,4,3.25,2,0,0,3,10,2013,0,98053,47.658,-122.006,4,2015,spring,6879.598662207358,348.38350055741364,348.38350055741364,0.0,171.52163344676714,854.4820453892559,house,0%_25%,+90,winter,2124000.0,80.0,group_3
2050,1425069103,2014-07-18,750000.0,3,2.5,2,0,0,3,8,2013,0,98053,47.655,-122.009,7,2014,summer,4072.092159048681,243.403939056113,243.403939056113,0.0,184.18050739185983,854.4820453892559,house,0%_25%,+90,winter,1350000.0,80.0,group_3
2060,2413910120,2014-07-02,915000.0,3,4.5,2,0,0,3,10,2013,0,98053,47.6735,-122.058,7,2014,summer,5827.387588257154,357.67372723894465,289.8550724637681,67.81865477517651,157.0171858559449,854.4820453892559,house,0%_25%,+90,winter,1647000.0,80.0,group_3
3021,222069058,2014-09-15,729000.0,3,3.25,1,0,0,3,9,2005,0,98038,47.4246,-122.014,9,2014,fall,5625.046451133408,209.03010033444818,209.03010033444818,0.0,129.59892977472418,524.450002561007,house,0%_25%,+90,summer,1312200.0,80.0,group_3
3172,222069057,2015-03-30,665000.0,3,3.5,1,0,0,3,9,2005,0,98038,47.4239,-122.015,3,2015,spring,8903.010033444816,332.59011519881085,332.59011519881085,0.0,74.6938392186326,524.450002561007,house,0%_25%,+90,summer,1197000.0,80.0,group_3
4879,1550000463,2014-08-26,637000.0,4,3.5,2,0,0,3,9,2008,0,98019,47.7721,-121.924,8,2014,summer,11047.75176514307,286.13898179115574,286.13898179115574,0.0,57.6587900906507,402.9042014197427,house,0%_25%,+90,winter,1146600.0,80.0,group_3
4962,1426079047,2014-09-11,620000.0,3,2.25,2,0,0,3,9,2005,0,98019,47.7384,-121.878,9,2014,fall,19708.008175399482,234.11371237458195,147.71460423634338,86.39910813823857,31.45929281549187,402.9042014197427,house,0%_25%,+90,winter,1116000.0,80.0,group_3
5024,2526069092,2014-08-08,1015000.0,4,3.75,2,0,0,3,10,2007,0,98019,47.7072,-121.983,8,2014,summer,19243.86845039019,435.7116313638053,374.3961352657005,61.315496098104795,52.744072877894766,402.9042014197427,house,0%_25%,+90,winter,1827000.0,80.0,group_3
5031,2826079027,2014-11-12,659000.0,3,2.5,2,0,0,3,8,2007,0,98019,47.7072,-121.927,11,2014,fall,35733.37049424006,287.06800445930884,287.06800445930884,0.0,18.44214500018199,402.9042014197427,house,0%_25%,+90,winter,1186200.0,80.0,group_3
8324,3024079063,2014-07-01,850000.0,4,3.25,1,0,0,3,9,2006,0,98027,47.5435,-121.966,7,2014,summer,10474.730583426237,404.1248606465998,204.38498699368265,199.73987365291714,81.14767184035476,596.2245488833676,house,0%_25%,+90,spring,1530000.0,80.0,group_3
8395,1623069046,2015-03-12,1700000.0,4,3.5,2,0,0,3,11,2006,0,98027,47.478,-122.038,3,2015,spring,31241.452991452992,378.1122259383129,378.1122259383129,0.0,54.41488270296149,596.2245488833676,house,0%_25%,+90,spring,3060000.0,80.0,group_3
8582,2423069039,2014-08-06,650000.0,3,2.5,1,0,0,3,9,2013,0,98027,47.4694,-121.989,8,2014,summer,4815.681902638425,232.25566703827576,140.28242289111856,91.9732441471572,134.97569256887104,596.2245488833676,house,0%_25%,+90,spring,1170000.0,80.0,group_3
8601,323079101,2015-01-23,1800000.0,4,3.5,2,0,0,3,12,2008,0,98027,47.5016,-121.905,1,2015,winter,19100.984764028242,591.7874396135267,591.7874396135267,0.0,94.23597904699834,596.2245488833676,house,0%_25%,+90,spring,3240000.0,80.0,group_3
9289,622069006,2014-08-20,1500000.0,4,5.5,1,0,0,3,11,2006,0,98058,47.4302,-122.095,8,2014,summer,20194.537346711262,608.5098476402825,501.6722408026756,106.83760683760684,74.2775124899942,385.71,house,0%_25%,+90,spring,2700000.0,80.0,group_3
9326,522069022,2014-07-14,599000.0,5,2.5,2,0,0,3,8,2006,0,98058,47.4186,-122.079,7,2014,summer,6717.670011148272,274.0616871051654,274.0616871051654,0.0,89.16782143301663,385.71,mansion,0%_25%,+90,spring,1078200.0,80.0,group_3
12434,1923069078,2014-08-05,890000.0,4,3.25,2,0,0,3,10,2005,0,98059,47.4711,-122.084,8,2014,summer,18048.866592344853,295.42920847268675,295.42920847268675,0.0,49.31057556697104,544.9270919173299,house,0%_25%,+90,fall,1602000.0,80.0,group_3
12865,123059127,2014-05-02,625000.0,4,3.25,1,0,0,3,9,2007,0,98059,47.5133,-122.11,5,2014,spring,5018.023039762171,253.62318840579712,144.92753623188406,108.69565217391305,124.55104232236086,544.9270919173299,house,0%_25%,+90,fall,1125000.0,80.0,group_3
14787,524069115,2014-05-09,759000.0,3,2.25,1,0,0,3,9,2006,0,98075,47.5917,-122.068,5,2014,spring,7324.69342251951,274.0616871051654,274.0616871051654,0.0,103.62208439557094,783.3155295860422,house,0%_25%,+90,spring,1366200.0,80.0,group_3
15268,8847400115,2014-07-23,590000.0,3,2.0,1,0,0,3,8,2005,0,98010,47.3666,-121.978,7,2014,summer,19384.243775548126,224.8234856930509,224.8234856930509,0.0,30.43709142495638,193.9069345863163,house,0%_25%,+90,fall,1062000.0,80.0,group_3
15340,821079102,2014-10-17,780000.0,4,3.5,1,0,2,3,10,2007,0,98010,47.3216,-121.94,10,2014,fall,19794.96469713861,345.5964325529543,345.5964325529543,0.0,39.40396014511459,193.9069345863163,house,0%_25%,+90,fall,1404000.0,80.0,group_3
16348,3523089019,2014-05-19,480000.0,4,3.5,2,0,3,3,9,2005,0,98045,47.4398,-121.738,5,2014,spring,40468.227424749166,313.08063916759573,313.08063916759573,0.0,11.861157024793387,271.92589657222106,house,0%_25%,+90,summer,864000.0,80.0,group_3
16379,2323089009,2015-01-19,855000.0,4,3.5,2,0,0,3,10,2006,0,98045,47.4619,-121.744,1,2015,winter,95138.23857302118,374.3961352657005,374.3961352657005,0.0,8.98692274341157,271.92589657222106,house,0%_25%,+90,summer,1539000.0,80.0,group_3
16494,8835800010,2014-12-23,1042000.0,4,4.5,2,0,3,3,10,2006,0,98045,47.4695,-121.775,12,2014,winter,25105.536975102194,457.07915273132664,354.88665923448536,102.19249349684132,41.504788407170025,271.92589657222106,house,0%_25%,+90,summer,1875600.0,80.0,group_3
16495,1623089165,2015-05-06,920000.0,4,3.75,2,0,0,3,10,2008,0,98045,47.4807,-121.795,5,2015,spring,46821.72054998142,374.3961352657005,374.3961352657005,0.0,19.64900027579967,271.92589657222106,house,0%_25%,+90,summer,1656000.0,80.0,group_3
16496,1623089086,2014-10-15,760000.0,4,2.75,2,0,2,3,9,2006,0,98045,47.4803,-121.795,10,2014,fall,26506.688963210705,369.751021924935,369.751021924935,0.0,28.6720080752003,271.92589657222106,house,0%_25%,+90,summer,1368000.0,80.0,group_3
16503,8835800450,2015-05-04,950000.0,3,2.5,1,0,0,3,10,2006,0,98045,47.4496,-121.766,5,2015,spring,25551.189149015237,258.26830174656266,258.26830174656266,0.0,37.180265640850365,271.92589657222106,house,0%_25%,+90,summer,1710000.0,80.0,group_3
16509,8835770170,2014-08-22,1488000.0,5,6.0,2,0,3,3,12,2007,0,98045,47.4624,-121.779,8,2014,summer,26009.661835748793,639.1675956893348,378.1122259383129,261.05536975102194,57.20950965824665,271.92589657222106,mansion,0%_25%,+90,summer,2678400.0,80.0,group_3
16511,3123089027,2014-07-21,472000.0,3,2.5,2,0,0,3,8,2005,0,98045,47.4304,-121.841,7,2014,summer,9752.78706800446,353.0286138981791,298.21627647714604,54.81233742103308,48.39642214157117,271.92589657222106,house,0%_25%,+90,summer,849600.0,80.0,group_3
16513,8835770330,2014-08-19,1057000.0,2,1.5,2,0,0,3,11,2005,0,98045,47.4543,-121.778,8,2014,summer,17115.47751765143,220.1783723522854,220.1783723522854,0.0,61.75696815411087,271.92589657222106,apartment,0%_25%,+90,summer,1902600.0,80.0,group_3
17598,2624089007,2015-03-20,1998000.0,2,2.5,2,0,0,3,12,2009,0,98065,47.5371,-121.756,3,2015,spring,85509.38312894835,362.3188405797102,362.3188405797102,0.0,23.36585678541279,927.76263522981,apartment,0%_25%,+90,spring,3596400.0,80.0,group_3
18033,1524069044,2014-10-09,1822500.0,4,4.5,2,0,0,3,12,2006,0,98029,47.5592,-122.015,10,2014,fall,8241.731698253438,592.7164622816797,592.7164622816797,0.0,221.13071217620669,1216.2845814977973,house,0%_25%,+90,fall,3280500.0,80.0,group_3
18127,1424069056,2014-08-05,1350000.0,4,3.75,2,0,0,3,9,2014,0,98029,47.5626,-122.005,8,2014,summer,5705.964325529543,380.8992939427722,380.8992939427722,0.0,236.59453914912322,1216.2845814977973,house,0%_25%,+90,fall,2430000.0,80.0,group_3
18141,2124069115,2014-10-21,1830000.0,4,4.25,2,0,3,3,11,2009,0,98029,47.559,-122.045,10,2014,fall,19991.267186919362,418.06020066889636,244.33296172426608,173.72723894463027,91.53997007240247,1216.2845814977973,house,0%_25%,+90,fall,3294000.0,80.0,group_3
18888,3421069053,2014-06-19,600000.0,3,2.0,1,0,0,3,9,2007,0,98022,47.2688,-122.024,6,2014,summer,22055.183946488294,235.97175771088817,235.97175771088817,0.0,27.20448858897566,263.01942363288777,house,0%_25%,+90,summer,1080000.0,80.0,group_3
18893,220069083,2014-05-09,705000.0,2,2.5,1,0,3,3,8,2007,0,98022,47.2458,-122.002,5,2014,spring,17484.2066146414,204.38498699368265,204.38498699368265,0.0,40.322104144527096,263.01942363288777,apartment,0%_25%,+90,summer,1269000.0,80.0,group_3
18909,820079081,2014-09-11,570000.0,4,3.0,2,0,0,3,9,2006,0,98022,47.2411,-121.932,9,2014,fall,20234.113712374583,251.7651430694909,251.7651430694909,0.0,28.170247933884298,263.01942363288777,house,0%_25%,+90,summer,1026000.0,80.0,group_3
18989,3221079050,2015-03-03,465000.0,3,2.5,1,0,0,3,8,2014,0,98022,47.2683,-121.946,3,2015,spring,13435.43292456336,178.37235228539578,178.37235228539578,0.0,34.60997517615251,263.01942363288777,house,0%_25%,+90,summer,837000.0,80.0,group_3
18997,3421069049,2014-10-21,565000.0,2,1.75,1,0,0,3,8,2006,0,98022,47.2673,-122.027,10,2014,fall,25656.819026384244,104.97956150130064,104.97956150130064,0.0,22.021436071984645,263.01942363288777,apartment,0%_25%,+90,summer,1017000.0,80.0,group_3
20413,1822059156,2015-01-14,680000.0,3,3.5,1,0,0,3,10,2011,0,98031,47.4002,-122.217,1,2015,winter,9631.36380527685,339.0932738758826,190.4496469713861,148.64362690449647,70.60266995910177,376.36494318181815,house,0%_25%,+90,summer,1224000.0,80.0,group_3
21242,2025079045,2014-06-23,649000.0,2,1.75,2,0,2,3,9,2005,0,98014,47.6359,-121.94,6,2014,summer,26102.00668896321,209.95912300260127,175.58528428093646,34.37383872166481,24.86398872445384,174.07094654512218,apartment,0%_25%,+90,winter,1168200.0,80.0,group_3
21288,1125079111,2015-04-15,1600000.0,4,5.5,2,0,2,3,11,2008,0,98014,47.664,-121.878,4,2015,spring,80936.45484949833,606.6518023039763,606.6518023039763,0.0,19.768595041322314,174.07094654512218,house,0%_25%,+90,winter,2880000.0,80.0,group_3
1028,7936500190,2014-10-21,1339000.0,4,3.75,1,1,4,3,9,1955,0,98136,47.5489,-122.398,10,2014,fall,3222.686733556299,197.88182831661095,197.88182831661095,0.0,415.4918273804376,1055.2941176470588,house,25%_50%,-60,summer,2008500.0,50.0,group_4
1077,5154700060,2014-10-15,1662000.0,4,2.75,1,1,4,4,9,1951,0,98136,47.525,-122.393,10,2014,fall,1783.7235228539578,327.0159791898923,181.1594202898551,145.85655890003716,931.75875,1055.2941176470588,house,75%_100%,-60,summer,1994400.0,19.999999999999996,group_4
1117,7936500109,2014-07-25,2230000.0,3,3.0,2,1,4,5,10,1977,0,98136,47.5516,-122.398,7,2014,summer,2607.2092159048684,336.3062058714233,220.1783723522854,116.12783351913788,855.3206955530216,1055.2941176470588,house,75%_100%,60_90,summer,2676000.0,19.999999999999996,group_4
2597,7204200025,2014-10-28,1225000.0,4,2.5,2,1,4,4,9,1974,1989,98198,47.3535,-122.323,10,2014,fall,4594.5745076179865,289.8550724637681,240.61687105165367,49.238201412114456,266.61881268197993,334.13876995086764,house,75%_100%,60_90,spring,1470000.0,19.999999999999996,group_4
2680,7781600100,2014-09-05,1338750.0,3,2.75,1,1,4,3,9,1963,2001,98146,47.4857,-122.361,9,2014,fall,3611.018208844296,253.62318840579712,180.23039762170197,73.39279078409514,370.7403071856749,412.0591776852159,house,75%_100%,60_90,spring,1606500.0,19.999999999999996,group_4
2841,6329000190,2014-07-29,750000.0,4,1.75,1,1,4,3,8,1960,0,98146,47.4996,-122.378,7,2014,summer,2028.428093645485,234.11371237458195,131.9212188777406,102.19249349684132,369.7444352844188,412.0591776852159,house,75%_100%,-60,spring,900000.0,19.999999999999996,group_4
10584,2623039082,2015-02-18,770000.0,3,3.5,2,1,4,4,9,1930,0,98166,47.4536,-122.376,2,2015,winter,2020.0668896321072,190.4496469713861,162.57896692679302,27.87068004459309,381.1754966887417,389.27245060479527,house,75%_100%,-60,spring,924000.0,19.999999999999996,group_4
10611,7631200085,2014-05-12,947500.0,3,2.75,1,1,2,5,8,1917,0,98166,47.4522,-122.378,5,2014,spring,2521.739130434783,276.8487551096247,202.52694165737645,74.32181345224824,375.7327586206896,389.27245060479527,house,75%_100%,-60,spring,1137000.0,19.999999999999996,group_4
10891,1121039059,2014-05-22,503000.0,2,1.75,1,1,4,3,8,1948,2003,98023,47.3276,-122.389,5,2014,spring,5538.0899293942775,265.7004830917875,140.28242289111856,125.4180602006689,90.8255384821848,334.6833240201166,apartment,25%_50%,-60,fall,754500.0,50.0,group_4
10897,121039042,2015-03-13,425000.0,3,2.75,1,1,3,3,8,1918,1962,98023,47.3351,-122.362,3,2015,spring,9976.402824228911,335.3771832032702,290.7840951319212,44.593088071348944,42.600525208127685,334.6833240201166,house,0%_25%,-60,fall,765000.0,80.0,group_4
11202,2322029048,2014-11-19,999000.0,3,2.75,1,1,3,4,8,1962,0,98070,47.3782,-122.514,11,2014,fall,46931.06651802304,262.91341508732813,170.01114827201783,92.9022668153103,21.28653947415305,107.95969817630227,house,0%_25%,60_90,spring,1798200.0,80.0,group_4
13360,4114601580,2014-07-24,1900000.0,6,4.0,2,1,4,3,8,1942,1983,98144,47.5924,-122.287,7,2014,summer,1229.7473058342625,280.5648457822371,263.8424377554812,16.722408026755854,1545.0328624310641,1612.4471999999998,mansion,75%_100%,-60,spring,2280000.0,19.999999999999996,group_4
15487,2624049091,2015-03-13,2903000.0,5,2.5,2,1,4,3,10,1925,0,98118,47.5379,-122.264,3,2015,spring,8517.372723894463,348.38350055741364,348.38350055741364,0.0,340.83280068934675,804.7805202222106,mansion,25%_50%,-60,spring,4354500.0,50.0,group_4
15908,1025039086,2014-09-16,1875000.0,3,2.5,2,1,3,3,11,1925,0,98199,47.6699,-122.416,9,2014,fall,2704.477889260498,304.71943515421776,304.71943515421776,0.0,693.2946308955377,1495.0,house,25%_50%,-60,spring,2812500.0,50.0,group_4
19263,3126059023,2015-03-03,3395000.0,4,3.5,1,1,4,3,10,1954,0,98033,47.6967,-122.216,3,2015,spring,4447.231512448904,439.4277220364177,273.1326644370123,166.29505759940542,763.3962815959891,855.5866394814287,house,75%_100%,-60,summer,4074000.0,19.999999999999996,group_4
